AidData Project ID,Title,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Organization,Organization ISO,Organization Role,Other Organizations,Source,Start Date (DD/MM/YYYY),End Date (DD/MM/YYYY),Planned Start Date (DD/MM/YYYY),Planned End Date (DD/MM/YYYY),Source Detail,Status,AidData Sector Code,AidData Sector Name,AidData Purpose Code,AidData Purpose Name,AidData Activity Code(s),AidData Activity Name(s),Short Description,Long Description,Donor Project ID,Donor Secondary Project ID,Additional Info,Project Commitment Amount (Constant USD2011),Project Disbursement Amount (Constant USD2011),Total Project Cost (Donor Reported),CRS: Untied Amount (Nominal USD),CRS: Tied Amount (Nominal USD),CRS: Partial Tied Amount (Nominal USD),CRS: Pdgg,CRS: Channel Code,CRS: Bi Multi,CRS: Desertification,CRS: Environment,CRS: Gender,CRS: Trade,CRS: Climate,CRS: Biodiversity,CRS: Region,CRS: Sector Code,CRS: Sector,CRS: Purpose Code,CRS: Purpose Name,CRS: Flow Name,CRS: Finance T,CRS: Associated Financing,CRS: Future Ds Principal Amount Usd Nominal,CRS: Future Ds Interest Amount Usd Nominal,CRS: Irtc Amount Usd Nominal,CRS: Received Amount Usd Nominal,CRS: Aid T,CRS: Arrears Interest Amount Usd Nominal,CRS: Arrears Principal Amount Usd Nominal,CRS: Channel Name,CRS: Expert Commitment Amount Usd Nominal,CRS: Export Credit Amount Usd Nominal,CRS: Export Extended Amount Usd Nominal,CRS: FTC,CRS: Initial Report,CRS: Interest Amount Usd Nominal,CRS: Outstanding Amount Usd Nominal,CRS: Repay Type,CRS: Second Interest Rate
50053594,"SCHOLARSHIPS. POSTGRADUATE UNIVERSITY EDUCATION, DOCTORAL AND POSTDOCTORAL, WITH THE GOAL OF PROMOTING THE CULTIVATION OF HUMAN CAPITAL",Spain,ES,Funding,MFA,,Extending,AECID,,Implementing,,OECD,1/1/2009,,,,CRS_ONLINE_MAY2011,READY,111,"Education, level unspecified",11182,Educational research,41081.01|23081.01|23020.01,"All environmental education/training activities|All energy education/training activities|Power generation/non-renewable sources, activity unspecified or does not fit elsewhere in group","SCHOLARSHIPS. POSTGRADUATE UNIVERSITY EDUCATION, DOCTORAL AND POSTDOCTORAL, WITH THE GOAL OF PROMOTING THE CULTIVATION OF HUMAN CAPITAL",GESTION DEL CONOCIMIENTO,4168,2009004168,,7892,7892,0,0.0,0.0,0.00779835677482,0,10000,1,0,0,0,0,0,0,South America,160,I.6. Other Social Infrastructure & Services,16061,Culture and recreation,ODA Grants,110,,0,0,0,0.0,,0,0,"PUBLIC SECTOR (donor, recipient, other)",,0,,1,1,0,0,,0
50041195,Finampo; Finnish-Peruvian project for increased capacity of Senam,Finland,FI,Funding,MFA,,Extending,"Other, institutions",,Implementing,,OECD,10/7/2009,31/12/2009,,,CRS_ONLINE_MAY2011,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41010,Environmental policy and administrative management,15130.06|15110.01,"Law enforcement and crime prevention|Economic and development policy/planning, activity unspecified or does not fit elsewhere in group",FINAMPO; FINNISH-PERUVIAN PROJECT FOR INCREASED CAPACITY OF SENAM,"Finampo, Finnish Peruvian project for increased capacity of SENAMHI to provide climatological and meteorological services.",45407801,2009091280,,719745,46774,0,0.696281854895,0.0,0.0,0,50000,1,0,2,0,0,2,0,South America,410,IV.1. General Environment Protection,41010,Environmental policy and admin. mgmt,ODA Grants,110,,,,0,0.0,,,,OTHER,,0,,1,1,,,,
50053593,"SCHOLARSHIPS. POSTGRADUATE UNIVERSITY EDUCATION, DOCTORAL AND POSTDOCTORAL, WITH THE GOAL OF PROMOTING THE CULTIVATION OF HUMAN CAPITAL",Spain,ES,Funding,MFA,,Extending,AECID,,Implementing,,OECD,1/1/2009,,,,CRS_ONLINE_MAY2011,READY,111,"Education, level unspecified",11182,Educational research,41081.01|23081.01|23020.01,"All environmental education/training activities|All energy education/training activities|Power generation/non-renewable sources, activity unspecified or does not fit elsewhere in group","SCHOLARSHIPS. POSTGRADUATE UNIVERSITY EDUCATION, DOCTORAL AND POSTDOCTORAL, WITH THE GOAL OF PROMOTING THE CULTIVATION OF HUMAN CAPITAL",GESTION DEL CONOCIMIENTO,4167,2009004167,,17469,17469,0,0.0,0.0,0.0172608271828,0,10000,1,0,0,0,0,0,0,South America,160,I.6. Other Social Infrastructure & Services,16061,Culture and recreation,ODA Grants,110,,0,0,0,0.0,,0,0,"PUBLIC SECTOR (donor, recipient, other)",,0,,1,1,0,0,,0
906000560717,"RECH : Ressources, milieux et leur biodiversité",France,,Funding,MEN,,Extending,Gouvernement du donneur,,Implementing,,OECD 2013,,,,,,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41082,Environmental research,,,"RECH : RESSOURCES, MILIEUX ET LEUR BIODIVERSITÉ","HYBAM (ORE) - Obs Recherche en Environnement : Contrôles géodynamique, hydrologique et biogéochimique de l’érosion/altération et des transferts de matière dans le bassin de l’Amazone, impact des variations hydroclimatiques et des activités anthropiques",,2013227942,,30919,30919,0,0.03172051248008497,0,0,,11000,1,,2,,,,2,South America,410,IV.1. General Environment Protection,41082,Environmental research,ODA Grants,110,,,,,0,D02,,,Donor government,,,,1,8,,,,
906000595307,Strengthening local governability and infrastructures application for a proper management of water,Spain,,Funding,MUNIC,,Extending,United hands,,Implementing,,OECD 2013,,,,,,READY,410|420|140,GENERAL ENVIRONMENTAL PROTECTION|WOMEN|WATER SUPPLY AND SANITATION,14020,Water supply and sanitation - large systems,14010.01|14020.04|41010.01|42010.01,"Water resources policy and administrative management, activity unspecified or does not fit elsewhere in group|Intakes, storage, pumping stations, conveyance and distribution systems|Environmental policy and administrative management, activity unspecified or does not fit elsewhere in group|Women in development, activity unspecified or does not fit elsewhere in group",STRENGTHENING LOCAL GOVERNABILITY AND INFRASTRUCTURES APPLICATION FOR A PROPER MANAGEMENT OF WATER,"FORTALECIMIENTO DE LA GOBERNABILIDAD LOCAL Y APLICACION DE INFRAESTRUCTURAS PARA UNA ADECUADA GESTION DEL AGUA POTABLE Y SANEAMIENTO MEDIO AMBIENTAL EN 4 LOCALIDADES DEL DISTRITO DE JOSE DOMINGO CHOQUEHUANCA, PUNO (PERU) :: EL PROYECTO TIENE ACOMO OBJETIVO HACER POSIBLE QUE LAS FAMILIAS QUECHUAS DEL DISTRITO DE JOSÉ DOMINGO CHOQUEHUANCA CONSUMAN AGUA POTABLE, MEJOREN SUS CONDICONES DESALUD E HIGIENE Y REALICEN UNA ADECUADA GESTIÓN MEDIOAMBIENTAL MEDIANTE LA CONSTRUCCIÓN SISTEMAS DE AGUA POTABLE EN CUATRO LOCALIDADES DEL DISTRITO. A SU VEZ SE TRABAJARÁ EN EL FORTALECIMIENTO DE LA GESTIÓN MUNICIPAL Y DE LAS ORGANIZACIONES COMUNALES DEL DISTRITO CON UNA PERSPECTIVA QUE PROMUEVA LA PARTICIPACIÓN DE LAS MUJERES EN LA GESTIÓN PÚBLICA DEL AGUA.",009-075761-1,2013002318,,2808,1404,0,0.0029147769516728625,0,0,0,22000,1,0,1,2,0,,0,South America,140,I.4. Water Supply & Sanitation,14031,Basic drinking water supply,ODA Grants,110,,,,,,C01,,,National NGOs,,,,,1,,,,
906000527937,Transport Rehabilitation Project,WORLD BANK,,Funding,IBRD,,Extending,MINISTRY/TRANSPORT,,Implementing,,OECD 2013,,,,,,READY,250|210|410,BUSINESS AND OTHER SERVICES|TRANSPORT AND STORAGE|GENERAL ENVIRONMENTAL PROTECTION,21000,"Transport and Storage, combination of purposes",21010.02|21010.03|21020.01|21020.02|21030.02|21050.02|21081.01|25020.01|41010.03,"Transport sector policy, planning and programs|Institution capacity building, Transport|Road transport, activity unspecified or does not fit elsewhere in group|Road infrastructure, road vehicles|Rail infrastructure, rail equipment, locomotives, other rolling stock|Airports, airport guidance systems|All transport education/training activities|All state enterprise privatisation activities|Institution capacity building, Environmental protection",TRANSPORT REHABILITATION PROJECT,"The Transport Sector Rehabilitation Project's main objectives are to: (i) rehabilitate essential transport infrastructure; (ii) assist Government in implementing institutional reform in road and railway subsectors; and (iii) lay the ground work for future projects focussing on strengthened road management, increased private participation in the transport sector, and improved mobility of the poor. The project will consist of five components, the most important concerning road rehabilitation. Six roads totalling 725 km will be rehabilitated under the project. In addition, this component will include: (i) a bridge program involving the acquisition and recovery of Bailey bridges and the reconstruction of derelict old bridges; (ii) a pilot maintenance program focussing on 620 km of road in a specified corridor; and (iii) a traffic safety program. In parallel, the project will support government efforts to rebuild an institutional structure capable of maintaining the road system. The second component will help to privatize and rehabilitate the railway, by: (i) reducing staff redundancy; (ii) rationalizing railway debt; (iii) closing down or receiving budgetary transfers from the Government for unprofitable services; and (iv) rehabilitating track, telecommunications and locomotives to keep the railway in operating condition while the privatization process is underway. The third component concerns the rehabilitation of Lima's airport runway which is in urgent need of repair, before it becomes in danger to aviation. The fourth component will be a pilot project for non-motorized transport in Lima to test methods of promoting the use of bicycles by low-income residents. The fifth component, technical assistance and training, will; (i) strengthen the institutional capacity for managing roads and bridges, and support the creation and fostering of an autonomous agency responsible for planning, operating, financing, and administering the highway network; (ii) build capacity to manage environmental issues; and (iii) assist the railway in its privatization and improving its management.",P008045.IBRD3717A.crs3,1994002401,,0,0,0,,,,,12000,4,,1,,,,,South America,210,II.1. Transport & Storage,21050,Air transport,Other Official Flows (non Export Credit),410,,,,,1.377153931,C01,,,Recipient government,,,,,3,0.012082111360000002,,2,
40654665,Peru Third Programmatic Environmental Development Policy Loan,World Bank - International Bank for Reconstruction and Development (IBRD),,Funding,,,,Peru (Ministry of Economy & Finance),,Implementing,MINISTRY OF ECONOMY AND FINANCE::Borrower|MINISTRY OF ECONOMY AND FINANCE::Borrower|,Screen Scrape Adapter,,31/12/2013,,,http://web.worldbank.org/external/projects/main?pagePK=64283627&piPK=73230&theSitePK=40941&menuPK=228424&Projectid=P118713,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41010,Environmental policy and administrative management,32210.02|31310.02|15150.02|41081.01|41010.02|41010.03,"Mineral and mining sector policy, planning and programs|Fishing sector policy, planning and programs|Community participation and development|All environmental education/training activities|Environmental policy, laws, regulations and economic instruments|Institution capacity building, Environmental protection",,"The objectives of the Environmental Development Policy Loan Program (ENVDPL) are: (a) institutional strengthening for environmental governance, including regulation and enforcement; and (b) mainstreaming of environmental sustainability principles in the mining, fisheries, and urban transport and energy sectors. The first loan (ENVDPL 1) focused on the enactments of laws, and issuances of various decrees to define roles, set environmental standards, and approve regulations to improve environmental sustainability in the mining, urban transport and fisheries sectors. The second loan (ENVDPL 2) built on the previous operation, and supported the development and implementation of various programs, strategies and initiatives to strengthen environmental governance, and address environmental concerns in the key sectors. This operation (ENVDPL 3) continues efforts to boost environmental sustainability, and enhance capacity building and public participation. The Peruvian government also has mechanisms to ensure adequate consultations opportunities which include public audiences (commonly used in the mining and energy sectors) in order to discuss environmental and social concerns in an open and transparent manner.",P118713,,,79898224,79898224,79898223.72506164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118796837,Volunteer Safety and Security,United States,US,Funding,PEACE,,Extending,U.S. Government - Peace Corps,,Implementing,,OECD,31/12/2011,30/12/2012,,,OECD Online 2012 - 2014 July,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41010,Environmental policy and administrative management,15150.07,Human rights,VOLUNTEER SAFETY AND SECURITY,Volunteer Safety and Security for Environment,44_272,2012053751,,60152,45004,0,,6.1264000000000006E-2,,,10000,1,,2,,,,,South America,410,IV.1. General Environment Protection,41010,Environmental policy and admin. mgmt,ODA Grants,110,,,,,,D01,,,"PUBLIC SECTOR (donor, recipient, other)",,,,1,1,,,,
95684216,Recherche environnementale,France,FR,Funding,MEN,,Extending,Secteur public,,Implementing,,OECD,1/1/2010,31/12/2010,,,CRS Online 2012,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41082,Environmental research,,,ENVIRONMENTAL RESEARCH,SCARDEC (modélisation des ondes de volume),,2010174631,,3154,3154,0,2.9648741721854306E-3,,0.0,,11000,1,,2,,,,,South America,410,IV.1. General Environment Protection,41082,Environmental research,ODA Grants,110,,,,,,D02,,,Donor government,,,,1,8,0.0,,,
107593882,Diversité biologique,France,FR,Funding,MEN,,Extending,Secteur public,,Implementing,,OECD,1/1/2011,31/12/2011,,,CRS Online 2012,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41030,Bio-diversity,,,DIVERSITÉ BIOLOGIQUE,VALORISATION DE LA BIODIVERSITE PERUVIEN,,2011205994,,19018,19018,0,1.9017505561735263E-2,0.0,0.0,0,11000,1,0,0,0,0,0,2,South America,410,IV.1. General Environment Protection,41030,Bio-diversity,ODA Grants,110,,,,0.0,,D02,,,Donor government,,,,1,8,,,,
94997055,Translation Beyond Copenhagen,United Kingdom,GB,Funding,FCO,,Extending,University college or other teaching institution research institute or think-tank,,Implementing,,OECD,1/1/2010,31/12/2010,,,CRS Online 2012,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41010,Environmental policy and administrative management,,,ENVIRONMENTAL POLICY AND ADMIN. MGMT,Translation Beyond Copenhagen,PAM PEL 000020 - 20,2010801362,,499,499,0,4.6795366795366792E-4,0.0,0.0,0,10000,1,0,2,,,0,0,South America,410,IV.1. General Environment Protection,41010,Environmental policy and admin. mgmt,ODA Grants,110,,,,0.0,,C01,,,"PUBLIC SECTOR (donor, recipient, other)",,,,,1,0.0,0.0,,
906000170245,Preservation of the biodiversity and sustainable management of the natural resources in the Alto Putumayo area,Belgium,,Funding,MPRF,,Extending,NGO local in recipient country,,Implementing,,OECD 2013,,,,,,READY,410,GENERAL ENVIRONMENTAL PROTECTION,41020,Biosphere protection,,,PRESERVATION OF THE BIODIVERSITY AND SUSTAINABLE MANAGEMENT OF THE NATURAL RESOURCES IN THE ALTO PUTUMAYO AREA,"The specific aim of this project is to encourage local Secoya and Kichwa communities to choose a sustainable development model, in view of biodiversity conservation and the sustainable management of the natural resources of the exceptional ecosystem in the Alto Putumayo area. To this end, investments are above all made in building capacity and knowledge around the following themes: internal organisation and strong leadership, administration, status management, drafting of internal regulations, communication, situation of categorisation process ZRG, the preparation of co-management of Reservas Comunales, sustainable management of natural resources and monitoring of territories (in cooperation with ICCA), eco-system services, indigenous rights and rights regarding the extraction of natural resources, and the situation of oil blocks 117A and B, and 187. Secondly, the communities are supported by APP in defending their rights through legal actions and lobbying. APP also supports indigenous federations in obtaining and maintaining their legal status. Expected outcome: 1: Internal organisation and leadership at the level of the communities and both federations are being strengthened.2: There is greater legal security for the communities, their territories and their federations.3: The indigenous peoples know their indigenous rights and their rights regarding the exploitation of natural resources and defend these rights by legal actions and lobbying.4: The indigenous population has been informed of the current state of the categorisation of the Zona Reservada Guëppí (ZRG) and are aware of the central topics of conservation and ecosystem services and joint management of protected natural areas. Document available at https://docs.google.com/file/d/0B-IUzKYaN-QST0RLZGRJa1VXSnM/edit?usp=sharing",3013037,2013013037,,14999,14999,0,0.015165958576739247,0,0,,23000,1,,2,1,,,1,South America,410,IV.1. General Environment Protection,41020,Biosphere protection,ODA Grants,110,,,,,0,C01,,,Local/Regional NGOs,,,,1,8,,,,
