,AidData Project ID,aiddata_id,aiddata_2_id,year,donor,donor_iso,donor_region,implementing_agency,financing_agency,crs_bi_multi,recipient,recipient_iso,recipient_region,start_date,end_date,commitment_date,planned_start_date,planned_end_date,title,short_description,long_description,donor_project_id,donor_secondary_id,aiddata_sector_code,aiddata_sector_name,aiddata_purpose_code,aiddata_purpose_name,aiddata_activity_codes,aiddata_activity_names,flow_name,crs_sector_code,crs_sector_name,crs_purpose_code,crs_purpose_name,coalesced_purpose_code,coalesced_purpose_name,commitment_amount_usd_constant,total_project_cost,crs_trade,crs_climate,crs_biodiversity,crs_gender,crs_environment,crs_desertification,pdgg,channel_code,associated_financing,future_ds_principal_amount_usd_nominal,future_ds_interest_amount_usd_nominal,received_amount_usd_nominal,irtc_amount_usd_nominal,untied_amount_usd_nominal,tied_amount_usd_nominal,partial_tied_amount_usd_nominal,finance_t,arrears_interest_amount_usd_nominal,arrears_principal_amount_usd_nominal,initial_report,ftc,repay_type,outstanding_amount_usd_nominal,interest_amount_usd_nominal,expert_commitment_amount_usd_nominal,export_credit_amount_usd_nominal,expert_extended_amount_usd_nominal,additional_info,source,source_detail
1075528,,95477024,NA,2010,United Nations Development Programme (UNDP),,Multilaterals,DEFENSORIA DEL PUEBLO,,4,Peru,PE,South America,,,1/1/10,NA,NA,Apoyo a DDHH en personas afect,APOYO A DDHH EN PERSONAS AFECT,"Apooyo a instituciones de seguimiento de DD.HH. y la Defensoria del Pueblo en formular e implementar politicas de promocion y proteccion de los derechos humanos Focus Area: Democratic governance. Result Area: Strengthening responsive governing institutions. Special Outcome: Effective, responsive, accessible and fair justice systems promote the rule of law, including both formal and informal processes, with due consideration on the rights of the poor, women and vulnerable groups.",53594,2010003044,740,Disaster prevention and preparedness,NA,,,,ODA Grants,740,VIII.3. Disaster Prevention & Preparedness,74010,Disaster prevention and preparedness,74010,Disaster prevention and preparedness,7900,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,C01,0,0,3,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
1089727,50019194,95942360,NA,2010,Sweden,SE,Europe,Multilateral organisation Oxfam,Sida,1,Peru,PE,South America,1/1/10,6/28/12,1/1/10,NA,NA,SSNC South 2010-2011,SSNC SOUTH 2010-2011,"Prolongation of a three year Framework Agreement for 2009-2011, with main focus of on strengthening of civil society in the area of environment and climate issues. The Programme is divided in several sub-programmes such as climate, water, forestry etc. Their is also a sub-program aimed at Eastern European countries that can be found under 54030088 and for communication under 54030087",5403008601,2010002811,430,Other,43040,Rural development,11330.02|11330.01|11220.01,"Elementary vocational training and secondary level technical education|Vocational training, activity unspecified|Basic/Primary education, activity unspecified or does not fit under any other applicable codes",ODA Grants,430,IV.2. Other Multisector,43040,Rural development,43040,Rural development,233389,0,NA,1,1,1,1,NA,2,22000,NA,0,0,0,0,208269.6954,0,0,B03,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
640284,,50061159,50061159,2009,Canada,CA,North & Central America,OTHER,CIDA,1,Peru,PE,South America,8/1/08,3/31/14,1/1/09,NA,NA,Promoting Effective Corporate Social Responsibility Initiative - Andean / Promouvoir la mise en place efficace de la responsabilití© sociale des entrep,PROMOTING EFFECTIVE CORPORATE SOCIAL RESPONSIBILITY INITIATIVE - ANDEAN / PROMOUVOIR LA MISE EN PLACE EFFICACE DE LA RESPONSABILITí_ SOCIALE DES ENTREP,"This initiative will provide access to resources and capacity building for regional/local governments and communities to identify, plan, and manage development projects that address the social and environmental impacts of extractive sector operations and create sustainable economic development, while producing empowered communities, improved public service delivery and the sustained economic well-being of communities. It will provide an opportunity to explore the convergence between Corporate Social Responsibility (CSR) and development cooperation through a partnership arrangement with extractive sector companies striking a balance between the rights and interests of communities and extractive sector companies and their operations.",A034537PRE,2.01E+13,250,Business and other services,NA,,,,ODA Grants,250,II.5. Business & Other Services,25010,Business support services & institutions,25010,Business support services and institutions,96854,0,NA,0,0,1,0,NA,0,50000,NA,0,0,0,0,78878.17704,0,0,C01,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS_ONLINE_MAY2011
266570,,97344333,NA,2010,Spain,ES,Europe,PRODEAN FOUNDATION,UNIV,1,Peru,PE,South America,1/1/10,1/1/11,1/1/10,NA,NA,Volunteering with Mother courage,BASIC LIFE SKILLS FOR YOUTH & ADULTS,"Voluntariado por parte de alumnado de la UGR destinado a una educacií_n para el desarrollo a los colectivos marginados, como nií±os, ancianos y mujeres; con el fin de posibilitarles su futuro desarrollo e implicando al alumnado de la UGR para sensibilizarlo y educarlo, a ser míçs solidarios y corrresponsables.",2010-BIL-UNIV-26657,2010010356,112,Basic education,NA,,,,ODA Grants,112,I.1.b. Basic Education,11230,Basic life skills for youth & adults,11230,Basic life skills for youth and adults ,1404,0,0,0,0,1,0,NA,0,51000,NA,0,0,0,0,0,1324.503311,0,D01,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS Online 2012
620342,,50041191,50041191,2009,Finland,FI,Europe,Embassy of Finland,MFA,1,Peru,PE,South America,1/2/09,12/31/09,1/1/09,NA,NA,Local Cooperation Fund (LCF) in Peru,LOCAL COOPERATION FUND (LCF) IN PERU,"Implementacií_n de unidades de manejo de conflictos fase II. Setting up of conflict management and prevention units at the Regional Governments of Arequipa and Lambayeque, and technical assistance for the consolidation of the already established units of San Martin and Junin./ Lambayeque (Northern Coast); San Martin (North Western Amazonia); Arequipa and Junin (Southern and Central Andes). After twenty years of grave political violence and the success of the peaceful transition to Democracy that followed the fall of Fujimori's regime, Peruvian authorities and civil society are learning to manage conflicts. A new culture is setting down, according to which prevention and dialogue are more efficient than repression. There is a growing demand for specialized capacity on the matter, but the number of experts is still short and concentrated in the capital city, while conflicts tend to emerge inside the country and most frequently in the Andean regions.",45406101-23,2009091633,740,Disaster prevention and preparedness,NA,,,,ODA Grants,740,VIII.3. Disaster Prevention & Preparedness,74010,Disaster prevention and preparedness,74010,Disaster prevention and preparedness,80180,0,0,0,0,0,0,NA,2,10000,NA,0,0,0,0,77565.79864,0,0,,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS_ONLINE_MAY2011
264706,,97278557,NA,2010,Spain,ES,Europe,ND,MUNIC,1,Peru,PE,South America,1/1/10,12/31/10,1/1/10,NA,NA,ND,EDUCATION FACILITIES AND TRAINING,"Con este proyecto se pretende construir y equipar un Centro de Atencií_n Piscosocial y Educativo para aproximadamente 250 ? jí_venes mayores de 16 aí±os, beneficiarios directos del proyecto",2010-BIL-EELL-29758,2010014676,111,"Education, level unspecified",NA,,,,ODA Grants,111,"I.1.a. Education, Level Unspecified",11120,Education facilities and training,11120,Education facilities and training,968,0,0,0,0,1,0,NA,0,22000,NA,0,0,0,0,913.4569536,0,0,C01,0,0,1,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
349946,,116851697,NA,2012,United Nations Population Fund (UNFPA),,Multilaterals,PU,UNFPA,4,Peru,PE,South America,,,1/1/12,NA,NA,INMED ANDES - Young People's SRH,INMED ANDES - YOUNG PEOPLE'S SRH,INMED ANDES - Young People's SRH,,2012001970,130,Population policies/ programmes and reproductive health,NA,,,,ODA Grants,130,I.3. Population Pol./Progr. & Reproductive Health,13010,Population policy and admin. mgmt,13010,Population policy and administrative management,48369,0,NA,NA,NA,0,NA,NA,NA,20000,NA,0,0,0,0,0,0,0,C01,0,0,1,NA,NA,0,0,0,0,0,,OECD,OECD Online 2012 - 2014 July
869552,,104653118,NA,2011,Switzerland,CH,Europe,,SDC,1,Peru,PE,South America,11/1/11,12/31/14,1/1/11,NA,NA,Climate Change and Glacier Threats,CLIMATE CHANGE AND GLACIER THREATS,Face au recul des glaciers dans la CordillíÂre pí©ruvienne. la population et les autorití©s disposent des compí©tences ní©cessaires en matiíÂre däó»adaptation afin de garantir läó»approvisionnement en eau potable et däó»irrigation tout en í©tant íæ míÈme de gí©rer les risques de maniíÂre íæ les minimiser. - (a) LocalŒæ- Plan de gestion hydrique dans deux bassins versants (Huaraz et Cusco). monitorage intí©gral et systíÂme däó»alerte; (b) Acadí©miqueŒæ- Dí©veloppement däó»une offre de formation post grade articulí©e entre trois universití©s. dí©veloppement des capacití©s au sein de ces universití©s; (c) InstitutionnelŒæ- Dí©veloppement de capacití©s et plaidoyer politique.,7F-07833.01-52000-454-41020-C01,2010003047,140,Water supply and sanitation,14000,"Water Supply and Sanitation, combination of purposes",14030.01|14015.02|11110.03|31140.02|11420.01,"Basic drinking water supply and basic sanitation, activity unspecified or does not fit elsewhere in group|Inland surface waters|Institution capacity building, Education|Irrigation|Post-secondary education, activity unspecified or does not fit elsewhere in group",ODA Grants,410,IV.1. General Environment Protection,41020,Biosphere protection,14000,"Water Supply and Sanitation, combination of purposes",78900,0,0,0,0,0,2,NA,0,52000,NA,0,0,0,0,78899.90983,0,0,C01,0,0,3,NA,NA,0,0,0,0,0,,OECD,CRS Online 2012
1143879,107478127,119667837,NA,2012,Belgium,BE,Europe,NGO AQUADEV - AQUADEVCO,MPRW,1,Peru,PE,South America,,,1/1/12,NA,NA,Aide de la province du Brabant wallon: Centre National de Coop?ration au D?veloppement asbl,AIDE DE LA PROVINCE DU BRABANT WALLON: CENTRE NATIONAL DE COOP?RATION AU D?VELOPPEMENT ASBL,,3014189,2012014189,160,Other social infrastructure and services,16050,Multisector aid for social services ,21010.04|21050.02,"Aid to transport ministries|Airports, airport guidance systems",ODA Grants,160,I.6. Other Social Infrastructure & Services,16050,Multisector aid for basic soc. serv.,16050,Multisector aid for social services ,3065,0,NA,NA,NA,NA,NA,NA,NA,22000,NA,0,0,0,0,2892.030848,0,0,C01,0,0,8,NA,NA,0,0,0,0,0,,OECD,OECD Online 2012 - 2014 July
1143933,,119669616,NA,2012,Spain,ES,Europe,ONUSIDA - Programa Conjunto de las Naciones Unidas sobre el VIH/SIDA,UNIV,1,Peru,PE,South America,7/31/12,2/27/13,1/1/12,NA,NA,"OWN Program : PRGF in C for development 2012: urban improvement of the neighborhood of La Balanza in COMAS, LIMA","OWN PROGRAM : PRGF IN C FOR DEVELOPMENT 2012: URBAN IMPROVEMENT OF THE NEIGHBORHOOD OF LA BALANZA IN COMAS, LIMA",Ayuda de Viaje concedida para la Realizacií_n de un Proyecto Fin de Carrera para el Desdarrollo dentro del Programa de Becas para la realizacií_n del PFCD en paí_ses clasificados como prioritarios en el Plan General de Cooperacií_n de Espaí±a de escaso desarrollo humano. El objetivo es mejorar la calidad y amplitud de la cooperacií_n mediante el incrementeo en la implicacií_n de profesionales y unidades universitarias en los procesos de desarrollo en el marco de programas concretos de cooperacií_n. --- original channelcode : 51001,009-053003-1,2012003315,430,Other,NA,,,,ODA Grants,430,IV.2. Other Multisector,43030,Urban development and management,43030,Urban development and management,428,0,0,0,0,0,0,NA,0,51000,NA,0,0,0,0,396.4267352,0,0,D02,0,0,1,1,NA,0,0,0,0,0,,OECD,OECD Online 2012 - 2014 July
761665,,108414451,NA,2011,Spain,ES,Europe,Nií±os del Tambo Association.,AG,1,Peru,PE,South America,12/19/11,10/8/12,1/1/11,NA,NA,Qipa Kausayninchikta Allinchaspa- Improving our future.,QIPA KAUSAYNINCHIKTA ALLINCHASPA- IMPROVING OUR FUTURE.,"La presente propuesta se orienta a potenciar la oferta de la Educacií_n Tí©cnico Ocupacional en la provincia de Abancay, y con impacto esperado para toda la regií_n Apurí_mac. La ETO constituye una de las oportunidades míçs viables de acceso al mercado laboral y al emprendimiento productivo para las y los jí_venes egresados de la escuela secundaria, que sufren en ese momento altos í_ndices de desempleo y sub-empleo. El presente proyecto ha sido parte de un proceso de identificacií_n y formulacií_n de las contrapartes de AMC en esta regií_n, a partir de las experiencias previas y de los procesos en marcha. El proyecto pretende lograr el: Potenciamiento de la calidad de la enseí±anza tí©cnica ocupacional (ETO), incorporando enfoques pedagí_gicos, productivos, empresariales innovadores y de equidad de gí©nero, y en el marco de una nueva valoracií_n social de las carreras tí©cnicas, desde la provincia de Abancay hacia la difusií_n a impacto regional. Para ello se tomaríç como base la carrera agropecuaria en dos Centros de formacií_n de la provincia de Abancay, para experimentar una mejora sustantiva y directa durante la intervencií_n de la oferta educativa y crear condiciones favorables para convertir la ETO en una prioridad regional. En este sentido, el proyecto se desarrollaríç en base a 4 lí_neas de trabajo estrictamente articuladas: 1: Mejorar la oferta educativa actual, las condiciones pedagí_gicas y socio culturales; 2: Garantizar el acceso a nuevas tecnologí_as agropecuarias innovadoras en el IST y CETPRO de Abancay; 3: Potenciar las condiciones de articulacií_n de la oferta formativa con las oportunidades de empleo digno y emprendimientos; 4: Incidir en las polí_ticas pí_blicas de apoyo a la ETO insertadas en las estrategias de desarrollo en ejecucií_n, como son el Proyecto Educativo Regional (PER), Plan de Desarrollo Regional (PDR), Plan Regional de Igualdad de Oportunidades.",2011-CCAA-AND-0082-0001,2011012177,113,Secondary education,NA,,,,ODA Grants,113,I.1.c. Secondary Education,11330,Vocational training,11330,Vocational training,388209,0,NA,1,1,1,1,NA,1,22000,NA,0,0,0,0,388209.1212,0,0,C01,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS Online 2012
648045,,50068937,50068937,2009,Spain,ES,Europe,AECID,MFA,1,Peru,PE,South America,1/1/09,,1/1/09,NA,NA,"SCHOLARSHIPS. POSTGRADUATE UNIVERSITY EDUCATION, DOCTORAL AND POSTDOCTORAL, WITH THE GOAL OF PROMOTING THE CULTIVATION OF HUMAN CAPITAL","SCHOLARSHIPS. POSTGRADUATE UNIVERSITY EDUCATION, DOCTORAL AND POSTDOCTORAL, WITH THE GOAL OF PROMOTING THE CULTIVATION OF HUMAN CAPITAL",ANTROPOLOGIA CULTURAS,2610,2009002610,160,Other social infrastructure and services,16010,Social/ welfare services,43030.01|43040.01,"Urban development and management, activity unspecified or does not fit elsewhere in this group|Rural development, activity unspecified or does not fit elsewhere in this group ",ODA Grants,160,I.6. Other Social Infrastructure & Services,16061,Culture and recreation,16010,Social/ welfare services,15602,0,0,0,0,0,0,NA,0,10000,NA,0,0,0,0,0,0,15415.68027,,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS_ONLINE_MAY2011
1096429,50155333,96202946,NA,2010,Spain,ES,Europe,AMAZONŒæREGIONAL GOVERNMENTŒæ-ŒæSPECIAL PROJECTŒæKULEíÅP,MFA,1,Peru,PE,South America,1/1/10,1/1/14,1/1/10,NA,NA,Civil society fund for education in Latin America. 4 years,CIVIL SOCIETY FUND FOR EDUCATION IN LATIN AMERICA. 4 YEARS,"El proyecto del Fondo Regional de la Sociedad Civil para la Educacií_n (FRESCE) se inicií_ en 2009 tras una iniciativa conjunta de la Campaí±a Mundial de Educacií_n y fondos del EPDF (Education Program Development Fund, el cual tiene participacií_n de la AECID), para fortalecer a las organizaciones de la sociedad civil latinoamericana (tambií©n de Asia y íÅfrica) en sus capacidades de hacer incidencia polí_tica a favor del derecho a la educacií_n y de hacer vigilancia de las polí_ticas pí_blicas en este sentido. Inicialmente, en Amí©rica Latina se contí_ con la participacií_n de los 5 paí_ses incluidos en la Fast Track Iniciative (FTI).La Campaí±a Latinoamericana para el Derecho a la Educacií_n (CLADE), es la organizacií_n que actí_a como contraparte regional, como la red que aglutina a los foros nacionales que estíçn llevando a cabo estas actividades en cada paí_s, ademíçs de que en la CLADE participan otras redes y organizaciones que trabajan por el derecho a la educacií_n. Ayuda en Accií_n, como miembro fundador de la CLADE desde 2003, ha asumido el proyecto ante la AECID, que completa esta iniciativa con la participacií_n de los 14 paí_ses de Amí©rica Latina restantes, de los coaligados en la Campaí±a Regional.El objetivo del proyecto, por tanto, es fortalecer a las organizaciones de la sociedad civil de estos 19 paí_ses, desarrollando sus capacidades de incidencia para el cumplimiento del Derecho Humano a la Educacií_n.",2010-BIL-AGE-1386,2010001386,111,"Education, level unspecified",11110,Education policy and administrative management,15110.01|15120.01,"Economic and development policy/planning, activity unspecified or does not fit elsewhere in group|Public sector financial management, activity unspecified or does not fit elsewhere in group",ODA Grants,111,"I.1.a. Education, Level Unspecified",11110,Education policy & admin. management,11110,Education policy and administrative management,394805,0,0,0,0,0,0,NA,0,22000,NA,0,0,0,0,0,0,372516.5563,C01,0,0,1,1,NA,0,0,0,0,0,,OECD,CRS Online 2012
